category_id,parent_id,category_name
1514,151,laikikliai ir stovai knyginiams kompiuteriams
5313,5311,"        <Name ID=""2442454"" Value="""" langid=""39""/>
"
4241,4230,"        <Name ID=""1934825"" Value="""" langid=""39""/>
"
5683,1119,"        <Name ID=""2849929"" Value="""" langid=""39""/>
"
1226,1225,ausų kamštukai
5920,830,"        <Name ID=""3087240"" Value="""" langid=""39""/>
"
2374,816,vamzdžių tvirtinimo priemonės
2187,2103,miego manipuliatoriai
4905,1966,automobilių piltuvėliai
3170,4615,rankiniai obliai
2662,1990,kompasai
4450,4444,"        <Name ID=""2047588"" Value="""" langid=""39""/>
"
1488,119,pakabukai telefonams
3721,1967,automobilių stogų bagažinių priedai
3472,1990,tvorelės stovykloms nuo vėjo
